type,key,latency_ms,status_code,stale,version,rw_interval_ms
read,key-9,39.50,200,false,11,0.00
read,key-12,1.57,200,false,8,0.00
read,key-14,44.57,200,false,3,0.00
read,key-2,1.03,200,false,5,0.00
read,key-16,52.26,200,false,8,0.00
read,key-6,1.08,200,false,8,0.00
read,key-9,1.14,200,false,11,0.00
read,key-12,59.26,200,false,9,0.00
read,key-4,61.39,200,false,8,0.00
read,key-8,65.08,200,false,11,0.00
read,key-3,3.69,200,false,8,0.00
read,key-18,73.97,200,false,10,0.00
read,key-5,1.57,200,false,10,0.00
read,key-2,34.47,200,false,5,0.00
read,key-0,1.62,200,false,14,0.00
read,key-18,1.04,200,false,10,0.00
read,key-18,0.54,200,false,10,0.00
read,key-13,26.90,200,false,9,0.00
read,key-9,27.94,200,false,11,0.00
read,key-13,11.66,200,false,9,0.00
read,key-6,0.51,200,false,8,0.00
read,key-11,6.03,200,false,3,0.00
write,key-10,338.95,201,false,10,0.00
read,key-4,1.60,200,false,9,0.00
write,key-19,343.39,201,false,6,0.00
read,key-3,1.14,200,false,9,0.00
read,key-5,1.63,200,false,10,0.00
read,key-9,8.22,200,false,11,0.00
write,key-19,348.77,201,false,7,0.00
read,key-7,1.68,200,false,12,0.00
read,key-14,1.68,200,false,4,0.00
write,key-12,352.50,201,false,9,0.00
write,key-6,355.82,201,false,9,0.00
write,key-15,359.54,201,false,13,0.00
read,key-6,11.22,200,false,10,5.86
read,key-10,3.21,200,false,10,26.45
write,key-13,366.93,201,false,10,0.00
read,key-8,2.04,200,false,11,0.00
write,key-7,369.03,201,false,12,0.00
read,key-18,1.58,200,false,10,0.00
read,key-2,0.52,200,false,5,0.00
write,key-17,309.22,201,false,10,0.00
write,key-14,309.75,201,false,4,0.00
write,key-12,375.39,201,false,9,0.00
write,key-15,375.39,201,false,13,0.00
write,key-15,375.39,201,false,13,0.00
read,key-11,1.60,200,false,5,0.00
read,key-2,2.15,200,false,5,0.00
read,key-17,2.13,200,false,11,3.74
read,key-10,4.27,200,false,10,40.71
write,key-16,382.84,201,false,9,0.00
write,key-4,386.59,201,false,9,0.00
read,key-17,3.75,200,false,10,12.29
write,key-3,309.57,201,false,9,0.00
write,key-10,342.11,201,false,10,0.00
read,key-17,10.27,200,false,11,14.02
write,key-11,308.12,201,false,4,0.00
read,key-13,4.53,200,false,10,26.40
read,key-17,2.15,200,false,11,21.70
write,key-13,309.87,201,false,10,0.00
read,key-2,3.14,200,false,7,0.00
read,key-2,13.74,200,false,5,0.00
read,key-15,1.59,200,false,13,29.43
write,key-11,311.64,201,false,5,0.00
read,key-9,2.79,200,false,11,0.00
read,key-10,2.22,200,false,10,19.29
read,key-16,1.10,200,false,9,25.87
write,key-4,309.30,201,false,10,0.00
write,key-6,308.29,201,false,10,0.00
write,key-2,307.11,201,false,6,0.00
write,key-17,316.34,201,false,11,0.00
write,key-17,313.16,201,false,11,0.00
read,key-9,4.19,200,false,12,0.00
write,key-5,313.64,201,false,11,0.00
read,key-16,2.21,200,false,9,302.56
write,key-6,324.89,201,false,10,0.00
write,key-11,319.61,201,false,6,0.00
write,key-18,313.79,201,false,11,0.00
write,key-4,325.65,201,false,10,0.00
write,key-2,333.61,201,false,7,0.00
write,key-3,323.51,201,false,10,0.00
read,key-15,18.31,200,false,13,328.32
write,key-12,327.84,201,false,10,0.00
write,key-19,318.24,201,false,8,0.00
write,key-18,320.35,201,false,11,0.00
write,key-12,318.63,201,false,10,0.00
read,key-7,4.85,200,false,13,338.45
read,key-2,2.66,200,false,7,4.85
read,key-14,1.06,200,false,4,334.25
read,key-15,5.91,200,false,13,333.69
write,key-8,311.56,201,false,12,0.00
read,key-9,15.71,200,false,12,0.00
read,key-6,3.87,200,false,10,22.23
write,key-7,307.50,201,false,13,0.00
write,key-9,316.95,201,false,12,0.00
read,key-18,4.93,200,false,11,8.69
read,key-4,9.23,200,false,10,13.55
read,key-5,3.96,200,false,11,36.93
read,key-13,3.42,200,false,10,322.00
read,key-6,5.03,200,false,10,27.80
write,key-6,316.30,201,false,10,0.00
read,key-17,26.75,200,false,11,73.13
read,key-4,21.34,200,false,10,43.72
read,key-17,27.29,200,false,11,73.67
read,key-8,38.36,200,false,12,36.73
read,key-4,39.95,200,false,10,45.36
read,key-0,27.86,200,false,14,0.00
read,key-3,1.64,200,false,10,44.28
read,key-15,3.16,200,false,13,374.12
read,key-0,40.97,200,false,15,0.00
read,key-8,3.16,200,false,12,40.45
read,key-15,4.26,200,false,13,376.86
read,key-16,1.63,200,false,9,369.94
read,key-18,6.91,200,false,11,50.01
write,key-2,312.62,201,false,8,0.00
write,key-9,315.20,201,false,13,0.00
write,key-7,316.78,201,false,14,0.00
read,key-19,1.72,200,false,9,272.45
read,key-16,0.53,200,false,10,595.50
read,key-5,2.25,200,false,12,295.67
read,key-8,4.13,200,false,13,271.77
read,key-6,1.39,200,false,10,258.85
read,key-1,5.52,200,false,9,0.00
read,key-17,1.30,200,false,11,311.94
read,key-15,2.37,200,false,15,611.38
read,key-3,1.60,200,false,10,283.05
read,key-5,1.08,200,false,12,305.70
write,key-13,330.82,201,false,11,0.00
read,key-8,1.11,200,false,13,298.64
write,key-5,312.44,201,false,12,0.00
write,key-11,314.10,201,false,7,0.00
read,key-10,1.06,200,false,11,630.55
read,key-3,1.09,200,false,10,316.25
write,key-5,347.80,201,false,12,0.00
read,key-18,1.41,200,false,12,314.43
read,key-13,1.95,200,false,11,13.67
read,key-15,1.10,200,false,15,647.62
write,key-11,325.28,201,false,7,0.00
write,key-0,322.63,201,false,15,0.00
read,key-18,1.13,200,false,12,323.18
write,key-16,338.85,201,false,10,0.00
write,key-2,317.88,201,false,9,0.00
write,key-18,337.00,201,false,12,0.00
read,key-16,1.13,200,false,10,11.21
read,key-8,1.09,200,false,13,332.78
read,key-7,1.10,200,false,14,68.50
write,key-1,307.18,201,false,9,0.00
write,key-15,343.76,201,false,14,0.00
write,key-19,316.70,201,false,9,0.00
read,key-13,1.40,200,false,11,57.86
write,key-2,318.10,201,false,8,0.00
read,key-2,1.69,200,false,10,2.15
read,key-1,1.73,200,false,9,15.90
read,key-1,1.10,200,false,9,17.00
write,key-7,320.22,201,false,14,0.00
write,key-10,322.96,201,false,11,0.00
read,key-17,1.23,200,false,11,400.48
read,key-15,1.23,200,false,15,14.83
read,key-17,1.09,200,false,11,401.56
write,key-8,325.18,201,false,13,0.00
write,key-11,325.27,201,false,7,0.00
write,key-15,308.09,201,false,15,0.00
read,key-10,1.55,200,false,13,205.25
read,key-0,0.51,200,false,16,248.66
write,key-19,306.78,201,false,10,0.00
write,key-10,308.34,201,false,12,0.00
read,key-16,1.29,200,false,11,266.80
read,key-14,4.49,200,false,4,927.66
read,key-15,0.51,200,false,15,27.28
write,key-10,306.40,201,false,12,0.00
write,key-2,307.37,201,false,10,0.00
write,key-16,306.14,201,false,11,0.00
write,key-12,305.62,201,false,11,0.00
read,key-3,1.11,200,false,10,624.92
read,key-18,1.32,200,false,13,288.68
read,key-2,1.44,200,false,11,9.47
write,key-12,306.57,201,false,11,0.00
write,key-6,308.24,201,false,11,0.00
read,key-4,3.83,200,false,11,637.89
read,key-2,1.53,200,false,11,19.61
write,key-2,313.95,201,false,10,0.00
write,key-2,313.08,201,false,11,0.00
read,key-19,6.25,200,false,10,56.72
write,key-10,306.19,201,false,13,0.00
read,key-16,1.25,200,false,12,24.51
read,key-12,0.77,200,false,11,16.11
read,key-18,2.02,200,false,13,311.53
read,key-16,0.78,200,false,12,26.06
read,key-18,1.42,200,false,13,313.73
write,key-18,306.43,201,false,13,0.00
read,key-13,1.08,200,false,11,353.35
write,key-15,306.86,201,false,15,0.00
read,key-11,0.57,200,false,7,284.08
write,key-6,306.02,201,false,11,0.00
write,key-1,306.41,201,false,10,0.00
write,key-6,314.00,201,false,11,0.00
write,key-0,305.95,201,false,16,0.00
write,key-12,305.50,201,false,11,0.00
read,key-9,7.52,200,false,13,412.63
read,key-19,0.00,200,false,10,94.66
write,key-4,318.53,201,false,11,0.00
read,key-14,7.16,200,false,5,1017.40
read,key-1,2.02,200,false,10,13.05
read,key-18,1.00,200,false,14,34.75
read,key-10,11.17,200,false,13,45.46
read,key-5,2.00,200,false,12,378.28
read,key-18,1.00,200,false,13,38.74
read,key-17,10.37,200,false,12,733.39
write,key-17,310.01,201,false,12,0.00
write,key-17,305.92,201,false,12,0.00
write,key-14,305.82,201,false,5,0.00
read,key-10,1.08,200,false,13,259.58
read,key-4,0.58,200,false,11,218.71
read,key-17,0.55,200,false,12,11.50
read,key-2,1.13,200,false,11,267.08
read,key-9,0.54,200,false,15,637.07
write,key-7,305.86,201,false,15,0.00
write,key-6,304.52,201,false,12,0.00
write,key-16,304.97,201,false,12,0.00
write,key-13,304.92,201,false,12,0.00
read,key-19,0.51,200,false,10,342.76
write,key-11,306.40,201,false,8,0.00
write,key-8,306.65,201,false,14,0.00
read,key-11,1.01,200,false,9,1.01
write,key-11,307.10,201,false,9,0.00
write,key-12,305.41,201,false,12,0.00
read,key-15,1.40,200,false,15,293.89
write,key-18,305.16,201,false,14,0.00
read,key-5,1.62,200,false,12,641.81
write,key-7,305.57,201,false,15,0.00
read,key-10,3.60,200,false,13,319.98
write,key-8,306.14,201,false,15,0.00
read,key-9,2.00,200,false,14,698.36
write,key-17,305.10,201,false,12,0.00
read,key-13,0.38,200,false,12,42.30
read,key-15,7.63,200,false,15,316.35
write,key-8,306.46,201,false,14,0.00
write,key-9,307.32,201,false,14,0.00
read,key-14,0.51,200,false,5,97.79
read,key-2,1.10,200,false,11,362.64
read,key-19,3.77,200,false,10,417.88
write,key-7,323.22,201,false,16,0.00
read,key-11,1.14,200,false,9,60.44
write,key-7,306.47,201,false,15,0.00
write,key-7,322.09,201,false,16,0.00
read,key-19,1.24,200,false,10,420.25
write,key-8,305.53,201,false,16,0.00
read,key-2,0.82,200,false,11,549.06
write,key-9,308.14,201,false,15,0.00
write,key-13,303.49,201,false,13,0.00
read,key-13,2.74,200,false,13,3.27
write,key-3,304.99,201,false,11,0.00
read,key-12,1.06,200,false,13,269.45
write,key-12,306.29,201,false,13,0.00
read,key-1,0.53,200,false,11,552.06
read,key-7,1.05,200,false,17,219.99
write,key-6,304.79,201,false,13,0.00
read,key-15,0.53,200,false,15,573.74
write,key-1,307.95,201,false,11,0.00
write,key-7,305.04,201,false,17,0.00
write,key-17,305.31,201,false,13,0.00
read,key-12,3.97,200,false,14,25.22
read,key-14,0.58,200,false,6,349.96
read,key-4,0.76,200,false,12,568.28
write,key-7,313.18,201,false,17,0.00
read,key-16,1.08,200,false,12,328.58
read,key-17,3.28,200,false,13,5.84
read,key-9,1.51,200,false,16,57.18
write,key-10,304.11,201,false,14,0.00
write,key-12,306.27,201,false,13,0.00
read,key-1,1.12,200,false,11,21.65
read,key-1,6.59,200,false,11,24.00
write,key-4,310.91,201,false,12,0.00
read,key-3,0.54,200,false,12,55.60
write,key-0,304.72,201,false,17,0.00
write,key-14,304.20,201,false,6,0.00
read,key-10,1.47,200,false,14,21.87
read,key-15,1.22,200,false,15,623.25
write,key-12,306.78,201,false,13,0.00
read,key-4,0.59,200,false,12,20.88
write,key-3,304.15,201,false,11,0.00
write,key-9,303.95,201,false,16,0.00
write,key-14,304.68,201,false,6,0.00
read,key-6,1.08,200,false,14,80.42
write,key-4,309.33,201,false,12,0.00
read,key-3,7.57,200,false,11,7.57
write,key-7,306.87,201,false,18,0.00
write,key-18,307.90,201,false,15,0.00
write,key-6,307.12,201,false,14,0.00
write,key-14,306.47,201,false,7,0.00
write,key-12,304.88,201,false,14,0.00
read,key-3,1.07,200,false,12,224.17
read,key-4,0.65,200,false,12,217.26
write,key-17,303.30,201,false,14,0.00
write,key-3,304.03,201,false,12,0.00
read,key-0,0.64,200,false,19,266.11
write,key-9,305.53,201,false,17,0.00
read,key-4,0.56,200,false,12,240.38
write,key-6,304.28,201,false,14,0.00
write,key-10,304.28,201,false,15,0.00
read,key-1,1.26,200,false,11,326.65
write,key-8,303.03,201,false,17,0.00
write,key-18,305.00,201,false,15,0.00
read,key-8,1.49,200,false,17,1.49
read,key-17,0.51,200,false,15,31.68
read,key-4,0.65,200,false,12,251.99
read,key-9,1.09,200,false,17,13.25
read,key-4,6.62,200,false,12,255.41
read,key-2,0.54,200,false,13,934.07
read,key-0,0.58,200,false,18,296.02
read,key-12,1.26,200,false,14,42.24
read,key-2,1.16,200,false,13,937.06
write,key-17,304.17,201,false,15,0.00
write,key-2,304.04,201,false,12,0.00
write,key-0,308.85,201,false,18,0.00
write,key-16,307.59,201,false,13,0.00
read,key-8,0.85,200,false,18,38.55
