type,key,latency_ms,status_code,stale,version,rw_interval_ms
read,key-1,63.93,200,false,2,0.00
read,key-14,65.02,404,false,0,0.00
read,key-4,65.55,404,false,0,0.00
read,key-6,66.26,404,false,0,0.00
read,key-14,68.38,404,false,0,0.00
read,key-18,68.38,404,false,0,0.00
read,key-13,69.43,404,false,0,0.00
read,key-13,69.43,404,false,0,0.00
read,key-0,74.45,404,false,0,0.00
read,key-12,74.45,200,false,2,0.00
read,key-17,77.28,404,false,0,0.00
read,key-11,77.28,200,false,1,0.00
read,key-19,77.26,404,false,0,0.00
read,key-14,77.26,404,false,0,0.00
read,key-3,79.89,200,false,1,0.00
read,key-10,82.12,200,false,1,0.00
read,key-11,84.26,200,false,1,0.00
read,key-19,84.80,404,false,0,0.00
read,key-3,52.39,200,false,1,0.00
read,key-16,57.90,200,false,1,0.00
write,key-14,122.35,201,false,1,0.00
read,key-4,57.34,404,false,0,0.00
read,key-0,57.31,404,false,0,0.00
read,key-17,58.55,404,false,0,0.00
read,key-11,58.56,200,false,1,0.00
write,key-13,130.17,201,false,1,0.00
read,key-15,53.41,404,false,0,0.00
read,key-14,61.11,200,false,1,8.19
read,key-4,58.57,404,false,0,0.00
read,key-2,53.13,404,false,0,0.00
read,key-5,56.81,200,false,1,0.00
read,key-7,58.22,200,false,2,0.00
read,key-15,51.75,404,false,0,0.00
read,key-8,58.92,200,false,4,0.00
read,key-18,59.43,404,false,0,0.00
read,key-15,55.10,404,false,0,0.00
read,key-15,52.98,404,false,0,0.00
read,key-1,50.95,200,false,2,0.00
read,key-19,55.36,404,false,0,0.00
read,key-10,52.49,200,false,1,0.00
read,key-10,52.49,200,false,1,0.00
write,key-3,108.59,201,false,2,0.00
read,key-15,51.50,404,false,0,0.00
read,key-4,50.62,404,false,0,0.00
read,key-4,50.99,404,false,0,0.00
read,key-2,55.25,404,false,0,0.00
read,key-18,52.87,404,false,0,0.00
read,key-15,57.29,404,false,0,0.00
read,key-17,50.17,404,false,0,0.00
read,key-17,56.01,404,false,0,0.00
read,key-5,54.71,200,false,1,0.00
read,key-18,55.05,404,false,0,0.00
read,key-6,56.60,404,false,0,0.00
read,key-10,56.60,200,false,1,0.00
read,key-7,55.56,200,false,2,0.00
read,key-10,51.43,200,false,1,0.00
read,key-7,51.43,200,false,2,0.00
read,key-2,53.49,404,false,0,0.00
read,key-7,53.28,200,false,2,0.00
write,key-13,103.95,201,false,2,0.00
read,key-7,51.50,200,false,2,0.00
read,key-2,54.20,404,false,0,0.00
read,key-17,52.65,404,false,0,0.00
write,key-6,102.89,201,false,1,0.00
read,key-14,51.70,200,false,1,115.23
read,key-8,51.88,200,false,4,0.00
read,key-12,52.92,200,false,2,0.00
read,key-14,52.31,200,false,1,121.19
read,key-16,53.36,200,false,1,0.00
read,key-3,50.76,200,false,2,68.70
read,key-5,52.90,200,false,1,0.00
read,key-7,52.90,200,false,2,0.00
write,key-1,102.02,201,false,3,0.00
read,key-13,50.78,200,false,2,47.42
read,key-15,50.78,404,false,0,0.00
read,key-2,51.90,404,false,0,0.00
read,key-11,54.74,200,false,1,0.00
write,key-5,102.05,201,false,2,0.00
read,key-12,52.28,200,false,2,0.00
read,key-12,51.16,200,false,2,0.00
read,key-0,52.26,404,false,0,0.00
read,key-6,52.81,200,false,1,52.81
read,key-3,51.68,200,false,2,114.42
