type,key,latency_ms,status_code,stale,version,rw_interval_ms
read,key-16,21.55,200,false,18,0.00
read,key-11,0.68,200,false,4,0.00
read,key-0,69.67,200,false,11,0.00
read,key-0,70.72,200,false,11,0.00
read,key-9,74.87,200,false,15,0.00
read,key-6,79.06,200,false,7,0.00
read,key-13,79.61,200,false,11,0.00
read,key-4,84.51,200,false,7,0.00
read,key-6,84.51,200,false,7,0.00
read,key-10,87.70,200,false,5,0.00
read,key-3,3.71,200,false,13,0.00
read,key-19,90.88,200,false,13,0.00
read,key-12,92.96,200,false,6,0.00
read,key-8,71.57,200,false,12,0.00
write,key-13,124.59,201,false,12,0.00
read,key-16,50.77,200,false,18,0.00
write,key-6,127.71,201,false,8,0.00
read,key-2,53.49,200,false,17,0.00
write,key-3,132.03,201,false,12,0.00
read,key-1,53.09,200,false,15,0.00
write,key-10,134.35,201,false,6,0.00
read,key-8,53.09,200,false,12,0.00
read,key-18,50.95,200,false,6,0.00
write,key-5,138.65,201,false,11,0.00
write,key-12,138.65,201,false,7,0.00
read,key-2,1.07,200,false,19,0.00
write,key-19,141.44,201,false,14,0.00
write,key-2,143.28,201,false,18,0.00
write,key-1,144.97,201,false,16,0.00
read,key-9,1.06,200,false,15,0.00
write,key-1,102.88,201,false,17,0.00
read,key-7,51.24,200,false,13,0.00
read,key-8,50.73,200,false,12,0.00
read,key-12,50.82,200,false,7,44.20
read,key-5,51.47,200,false,11,51.47
read,key-3,51.91,200,false,13,66.43
write,key-4,116.03,201,false,8,0.00
write,key-3,133.53,201,false,13,0.00
write,key-2,114.95,201,false,19,0.00
write,key-0,111.27,201,false,12,0.00
write,key-15,112.88,201,false,9,0.00
read,key-5,1.59,200,false,15,67.19
read,key-6,1.06,200,false,8,79.19
read,key-1,51.62,200,false,17,51.62
read,key-6,0.52,200,false,8,96.98
write,key-17,102.56,201,false,16,0.00
read,key-3,50.60,200,false,13,29.21
write,key-16,103.09,201,false,19,0.00
write,key-5,102.43,201,false,12,0.00
write,key-8,102.36,201,false,13,0.00
write,key-5,103.61,201,false,14,0.00
write,key-5,105.74,201,false,13,0.00
write,key-16,104.37,201,false,20,0.00
write,key-5,106.20,201,false,15,0.00
write,key-15,110.04,201,false,10,0.00
read,key-3,51.43,200,false,13,53.55
read,key-3,51.43,200,false,13,53.55
write,key-16,102.78,201,false,21,0.00
write,key-15,102.77,201,false,11,0.00
read,key-9,51.47,200,false,15,0.00
read,key-19,50.85,200,false,14,144.53
read,key-7,54.53,200,false,13,0.00
write,key-7,104.98,201,false,14,0.00
read,key-14,53.33,200,false,15,0.00
read,key-5,54.43,200,false,15,54.43
write,key-18,104.68,201,false,7,0.00
read,key-8,55.50,200,false,13,65.90
write,key-7,102.32,201,false,15,0.00
write,key-14,102.31,201,false,16,0.00
read,key-11,1.21,200,false,5,0.00
write,key-3,101.94,201,false,14,0.00
write,key-15,102.44,201,false,12,0.00
write,key-5,101.48,201,false,16,0.00
read,key-19,50.59,200,false,14,194.08
write,key-4,101.98,201,false,9,0.00
read,key-16,50.31,200,false,21,66.80
write,key-9,102.06,201,false,16,0.00
read,key-1,53.01,200,false,17,177.12
write,key-8,103.11,201,false,14,0.00
